TRY,EUR,0.04938198,2023-03-13,mssql,2023-03-13 12:48:37.7133333
TRY,GBP,0.04376234,2023-03-13,mssql,2023-03-13 12:48:37.7200000
TRY,USD,0.05280556,2023-03-13,mssql,2023-03-13 09:47:53.5433333
TRY,EUR,0.04987258,2023-03-13,mssql,2023-03-13 09:47:53.5500000
TRY,GBP,0.04421492,2023-03-13,mssql,2023-03-13 09:47:53.5533333
TRY,USD,0.05284239,2023-03-13,mssql,2023-03-13 09:48:36.7666667
TRY,EUR,0.04990742,2023-03-13,mssql,2023-03-13 09:48:36.7700000
TRY,USD,0.05280918,2023-03-13,mssql,2023-03-13 12:48:37.7000000
TRY,GBP,0.04424583,2023-03-13,mssql,2023-03-13 09:48:36.7766667
BRL,USD,0.19086155,2023-03-13,mssql,2023-03-13 16:48:45.7966667
TRY,EUR,0.04931331,2023-03-14,mssql,2023-03-14 12:48:45.0266667
BRL,USD,0.19100008,2023-03-14,mssql,2023-03-14 16:48:50.8300000
TRY,USD,0.05280361,2023-03-14,mssql,2023-03-14 12:48:45.0200000
TRY,GBP,0.04349566,2023-03-14,mssql,2023-03-14 12:48:45.0300000
TRY,EUR,0.04927880,2023-03-15,mssql,2023-03-15 10:47:57.3900000
TRY,EUR,0.04931331,2023-03-15,mssql,2023-03-15 10:48:59.6633333
TRY,GBP,0.04349566,2023-03-15,mssql,2023-03-15 10:48:59.6666667
TRY,EUR,0.04941151,2023-03-15,mssql,2023-03-15 12:49:00.4500000
TRY,GBP,0.04362412,2023-03-15,mssql,2023-03-15 12:49:00.4533333
BRL,USD,0.18876829,2023-03-15,mssql,2023-03-15 16:49:04.2533333
TRY,USD,0.05276655,2023-03-15,mssql,2023-03-15 10:47:57.3800000
TRY,GBP,0.04346503,2023-03-15,mssql,2023-03-15 10:47:57.3933333
TRY,USD,0.05280361,2023-03-15,mssql,2023-03-15 10:48:59.6600000
TRY,USD,0.05278438,2023-03-15,mssql,2023-03-15 12:49:00.4400000
TRY,GBP,0.04376770,2023-03-16,mssql,2023-03-16 12:49:07.3766667
TRY,USD,0.05273622,2023-03-16,mssql,2023-03-16 12:49:07.3666667
TRY,EUR,0.04968228,2023-03-16,mssql,2023-03-16 12:49:07.3700000
BRL,USD,0.18908596,2023-03-16,mssql,2023-03-16 16:49:13.2700000
TRY,USD,0.05272815,2023-03-17,mssql,2023-03-17 12:49:14.5266667
TRY,EUR,0.04952064,2023-03-17,mssql,2023-03-17 12:49:14.5466667
TRY,GBP,0.04349188,2023-03-17,mssql,2023-03-17 12:49:14.5500000
TRY,USD,0.05269926,2023-03-17,mssql,2023-03-17 15:48:01.5766667
TRY,GBP,0.04373688,2023-03-17,mssql,2023-03-17 15:48:01.5933333
TRY,USD,0.05272815,2023-03-17,mssql,2023-03-17 15:49:23.3833333
TRY,GBP,0.04349188,2023-03-17,mssql,2023-03-17 15:49:23.3866667
BRL,USD,0.18985059,2023-03-17,mssql,2023-03-17 16:49:25.9566667
TRY,USD,0.05269926,2023-03-17,mssql,2023-03-17 17:48:01.7800000
TRY,EUR,0.04964750,2023-03-17,mssql,2023-03-17 17:48:01.7866667
TRY,GBP,0.04373688,2023-03-17,mssql,2023-03-17 17:48:01.7900000
TRY,USD,0.05272815,2023-03-17,mssql,2023-03-17 17:49:31.9866667
TRY,EUR,0.04952064,2023-03-17,mssql,2023-03-17 17:49:32.0000000
TRY,EUR,0.04964750,2023-03-17,mssql,2023-03-17 15:48:01.5866667
TRY,EUR,0.04952064,2023-03-17,mssql,2023-03-17 15:49:23.3800000
TRY,GBP,0.04349188,2023-03-17,mssql,2023-03-17 17:49:31.9933333
TRY,USD,0.05269120,2023-03-19,mssql,2023-03-19 02:48:04.4366667
TRY,EUR,0.04948609,2023-03-19,mssql,2023-03-19 02:48:04.4500000
TRY,EUR,0.04952064,2023-03-19,mssql,2023-03-19 02:49:48.8866667
TRY,GBP,0.04349188,2023-03-19,mssql,2023-03-19 02:49:48.8900000
TRY,GBP,0.04346144,2023-03-19,mssql,2023-03-19 02:48:04.4533333
TRY,USD,0.05272815,2023-03-19,mssql,2023-03-19 02:49:48.8800000
TRY,USD,0.05269093,2023-03-20,mssql,2023-03-20 12:49:59.0066667
TRY,EUR,0.04935566,2023-03-20,mssql,2023-03-20 12:49:59.0100000
TRY,GBP,0.04324250,2023-03-20,mssql,2023-03-20 12:49:59.0166667
BRL,USD,0.19061779,2023-03-20,mssql,2023-03-20 20:50:02.4600000
TRY,USD,0.05265403,2023-03-21,mssql,2023-03-21 03:48:08.3400000
TRY,USD,0.05269093,2023-03-21,mssql,2023-03-21 03:50:11.3200000
TRY,USD,0.05266456,2023-03-21,mssql,2023-03-21 12:50:13.9600000
TRY,EUR,0.04932110,2023-03-21,mssql,2023-03-21 03:48:08.3500000
TRY,GBP,0.04321222,2023-03-21,mssql,2023-03-21 03:48:08.3566667
TRY,EUR,0.04935566,2023-03-21,mssql,2023-03-21 03:50:11.3133333
TRY,GBP,0.04324250,2023-03-21,mssql,2023-03-21 03:50:11.3233333
TRY,EUR,0.04903138,2023-03-21,mssql,2023-03-21 12:50:13.9700000
TRY,GBP,0.04307615,2023-03-21,mssql,2023-03-21 12:50:13.9733333
BRL,USD,0.19070140,2023-03-21,mssql,2023-03-21 16:50:17.4100000
TRY,USD,0.05262272,2023-03-22,mssql,2023-03-22 12:50:21.9200000
TRY,GBP,0.04297231,2023-03-22,mssql,2023-03-22 12:50:21.9300000
BRL,USD,0.18996239,2023-03-22,mssql,2023-03-22 18:50:26.3133333
BRL,USD,0.19070140,2023-03-22,mssql,2023-03-22 19:50:25.7266667
BRL,USD,0.18996239,2023-03-22,mssql,2023-03-22 20:50:27.1533333
TRY,EUR,0.04881025,2023-03-22,mssql,2023-03-22 12:50:21.9266667
BRL,USD,0.19002014,2023-03-23,mssql,2023-03-23 16:50:34.2700000
